date,taille_grille,k_swap,temps_execution,nb_mouvements,succes
2024-11-24 22:57:11,3x3,5,0.042,17,Oui
2024-11-24 22:58:08,3x3,10,0.048,20,Oui
2024-11-25 10:08:01,4x4,1,0.073,17,Oui
2024-11-25 10:08:20,3x3,10,0.04,21,Oui
2024-11-25 10:11:48,4x4,1,0.031,17,Oui
2024-11-25 10:12:08,4x4,1,0.036,18,Oui
2024-11-25 10:39:41,3x3,5,0.003,15,Oui
2024-11-25 10:39:51,4x4,5,0.015,28,Oui
2024-11-25 10:54:08,3x3,5,0.009,15,Oui
2024-11-25 10:55:09,3x3,0,0.016,18,Oui
2024-11-25 10:57:59,4x4,0,0.0,0,Non
2024-11-25 11:13:12,4x4,0,0.0,0,Non
2024-11-25 11:17:20,4x4,0,0.001,0,Non
2024-11-25 11:19:32,4x4,0,0.001,0,Non
2024-11-25 11:27:53,3x3,5,0.002,14,Oui
2024-11-25 11:28:06,4x4,5,0.611,34,Oui
2024-11-25 11:29:15,3x3,0,11.921,0,Non
2024-11-25 11:29:46,3x3,0,0.051,22,Oui
2024-11-25 11:32:13,3x3,0,0.091,23,Oui
2024-11-25 11:33:17,4x4,1,0.042,14,Oui
2024-11-25 11:33:46,4x4,1,0.237,14,Oui
2024-11-25 11:40:00,3x3,0,0.045,23,Oui
2024-11-25 11:46:37,4x4,0,8.684,0,Non
2024-11-25 11:56:04,4x4,2,0.047,27,Oui
2024-11-25 12:01:47,3x3,5,0.011,16,Oui
2024-11-25 12:01:57,3x3,0,0.014,21,Oui
